t t ref_freq ref_freq electric_frequency electric_frequency hall_freq hall_freq isA isA isB isB isC isC isD isD isQ isQ VsD VsD VsQ VsQ Vs Vs Vs_cita Vs_cita Vs_cita_relative Vs_cita_relative psisD psisD psisQ psisQ psis psis psis_alpha psis_alpha psis_ref psis_ref te te Ud Ud pi_control pi_control pi_max pi_max
t 16777216.00 ref_freq 0.00 electric_frequency 0.02 hall_freq 0.00 isA -6.01 isB -5.94 isC 11.95 isD -6.01 isQ -10.33 VsD -0.81 VsQ -1.43 Vs 1.63 Vs_cita 240.36 Vs_cita_relative 240.36 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.15 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.04 hall_freq 0.00 isA -5.99 isB -5.97 isC 11.97 isD -5.99 isQ -10.36 VsD -0.82 VsQ -1.47 Vs 1.63 Vs_cita 240.56 Vs_cita_relative 240.56 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.09 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.07 hall_freq 0.00 isA -5.96 isB -5.90 isC 11.85 isD -5.96 isQ -10.25 VsD -0.79 VsQ -1.41 Vs 1.66 Vs_cita 240.85 Vs_cita_relative 240.85 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.17 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.04 hall_freq 0.00 isA -6.09 isB -5.99 isC 12.08 isD -6.09 isQ -10.43 VsD -0.87 VsQ -1.53 Vs 1.64 Vs_cita 240.72 Vs_cita_relative 240.72 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.08 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.10 hall_freq 0.00 isA -6.07 isB -5.99 isC 12.06 isD -6.07 isQ 25.00 VsD 25.00 VsQ -1.53 Vs 1.67 Vs_cita 240.96 Vs_cita_relative 240.96 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.07 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.26 hall_freq 0.00 isA -6.03 isB -6.00 isC 12.02 isD -6.03 isQ -10.40 VsD -0.84 VsQ -1.49 Vs 1.64 Vs_cita 241.89 Vs_cita_relative 241.89 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.13 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.04 hall_freq 0.00 isA -6.04 isB -5.97 isC 12.01 isD -6.04 isQ -10.38 VsD -0.85 VsQ -1.50 Vs 1.68 Vs_cita 240.77 Vs_cita_relative 240.77 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.07 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.27 hall_freq 0.00 isA -5.85 isB -6.02 isC 11.87 isD -5.85 isQ -10.33 VsD -0.79 VsQ -1.46 Vs 1.65 Vs_cita 240.55 Vs_cita_relative 240.55 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.04 Ud 4.11 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.04 hall_freq 0.00 isA 25.00 isB -5.89 isC 11.82 isD 25.00 isQ -10.23 VsD -0.78 VsQ -1.40 Vs 1.66 Vs_cita 240.77 Vs_cita_relative 240.77 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.17 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.01 hall_freq 0.00 isA -5.98 isB -5.92 isC 11.89 isD -5.98 isQ -10.28 VsD -0.81 VsQ -1.44 Vs 1.64 Vs_cita 240.54 Vs_cita_relative 240.54 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.13 pi_control 25.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.11 hall_freq 0.00 isA -5.98 isB -6.03 isC 12.00 isD -5.98 isQ -10.41 VsD -0.85 VsQ -1.53 Vs 1.61 Vs_cita 240.78 Vs_cita_relative 240.78 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.04 Ud 4.08 pi_control -0.00 pi_max 0.01
